rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,3-Jan,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
624,Mahmoud Dahoud,Germany,MF,Stuttgart,Bundesliga,27,1996,13,227,1,0,1,1,0,0.6,0.6,1,19,0.4,0,5,1,42.9,0,4,0,1,0,0,0,0,0,0,0,0,205,235,87.2,829,92.9,88.7,66.7,7,19,3,5,2,0,100,1,5,0,3,1,3,33.3,0.4,0.33,1,28.6,4.36,0.4,0,2023-2024
641,Lukas Daschner,Germany,MF,Bochum,Bundesliga,24,1998,20,536,1,1,2,1,0,2.3,2.3,11,17,0.17,0.17,9,4,44.4,0,7,2,2,0,0,0,0,0,0,0,0,107,179,59.8,483,71.1,61.2,17.6,10,8,7,2,22,54.5,36.4,11,11,3,8,1,13,38.5,0.84,0.08,0.2,29.4,3.35,0.33,0,2023-2024
644,David Datro Fofana,Ivory Coast,FW,Union Berlin,Bundesliga,20,2002,12,682,1,0,1,1,0,2.8,2.8,20,14,0.13,0,10,7,44.4,0,4,0,5,0,0,0,0,0,0,0,0,106,152,69.7,346,78.3,64.1,90,5,5,8,6,49,38.8,53.1,20,16,13,26,1,26,46.2,1.58,0.04,0.08,37,3.7,0.26,0,2023-2024
647,Alphonso Davies,Canada,DF,Bayern Munich,Bundesliga,22,2000,29,2065,2,5,7,2,0,1,1,121,117,0.09,0.22,47,24,56.6,4,26,26,49,1,0,0,0,0,0,0,0,1440,1642,87.7,5332,91.2,91,51.9,37,88,31,60,122,57.4,38.5,121,93,35,24,2,13,30.8,0.17,0.15,0.5,60.9,3.31,0.61,0,2023-2024
667,Olivier Deman,Belgium,DF,Werder Bremen,Bundesliga,23,2000,29,1365,2,1,3,2,0,1.1,1.1,26,40,0.13,0.07,28,15,47.4,8,16,14,49,1,0,0,0,0,0,0,0,543,730,74.4,3323,85.9,78.2,56.8,13,34,15,65,17,58.8,35.3,26,11,6,6,2,17,41.2,0.46,0.12,0.29,47.1,2.31,0.07,0,2023-2024
671,Ermedin Demirović,Bosnia and Herzegovina,FW,Augsburg,Bundesliga,25,1998,33,2873,15,9,24,12,3,13.5,10.3,28,60,0.47,0.28,24,14,30,2,26,11,26,0,0,0,0,0,0,0,0,371,574,64.6,1174,69.9,78.2,57.1,33,40,17,27,65,44.6,47.7,28,20,11,39,15,77,41.6,1,0.16,0.38,36.4,2.26,0.44,0,2023-2024
673,Sepp van den Berg,Netherlands,DF,Mainz 05,Bundesliga,21,2001,33,2839,3,0,3,3,0,2.7,2.7,7,95,0.1,0,38,23,57.7,36,30,43,159,2,0,0,0,0,0,0,0,1190,1469,81,7392,84.7,86,57.7,7,86,4,229,5,80,20,7,4,0,4,3,25,44,0.35,0.12,0.27,68.7,0.73,0.03,0,2023-2024
708,Justin Diehl,Germany,FW,Köln,Bundesliga,18,2004,7,168,0,0,0,0,0,0.2,0.2,6,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,41,64,64.1,189,84,65,35.7,5,1,2,2,15,53.3,40,6,2,5,1,0,7,28.6,1.07,0,0,0,5.86,0,0,2023-2024
711,Eric Dier,England,DF,Bayern Munich,Bundesliga,29,1994,15,1166,0,0,0,0,0,0.7,0.7,8,53,0,0,11,8,83.3,12,8,10,48,1,0,0,0,0,0,0,0,1042,1143,91.2,8102,92.9,95.6,76.1,2,61,1,140,1,100,0,8,13,0,0,0,9,33.3,0.23,0,0,69.4,1,0.39,0,2023-2024
717,Junior Dina Ebimbe,France,MF,Eint Frankfurt,Bundesliga,22,2000,31,1956,5,3,8,5,0,5,5,57,79,0.23,0.14,44,29,43.9,7,21,9,39,1,0,0,0,0,0,0,0,715,935,76.5,2999,84,80.2,58.5,20,62,19,54,90,46.7,48.9,57,32,25,30,5,52,28.8,0.69,0.1,0.33,56.2,2.48,0.28,0,2023-2024
718,Eren Dinkçi,Germany,FW,Heidenheim,Bundesliga,21,2001,33,2650,10,5,15,10,0,4.3,4.3,85,89,0.34,0.17,32,18,39.6,4,36,12,21,0,0,0,0,0,0,0,0,508,819,62,3108,71.4,68,53.5,36,65,33,24,95,43.2,48.4,85,59,22,46,10,49,42.9,0.71,0.2,0.48,31.4,2.92,0.44,0,2023-2024
733,Ritsu Doan,Japan,DF,Freiburg,Bundesliga,25,1998,30,2246,7,2,9,7,0,5,5,49,78,0.28,0.08,50,27,58.3,3,27,9,29,0,0,0,0,0,0,0,0,504,713,70.7,2663,84.5,71.9,34.2,31,49,22,39,115,46.1,47.8,49,41,9,36,7,37,51.4,0.76,0.19,0.37,42.9,2.81,0.28,0,2023-2024
736,Danilho Doekhi,Netherlands,DF,Union Berlin,Bundesliga,25,1998,24,2160,2,0,2,2,0,1.2,1.2,7,65,0.08,0,34,23,71.4,25,21,38,111,1,0,0,0,0,0,0,0,738,919,80.3,5232,87.8,87.3,49.3,4,67,9,154,4,50,0,7,16,1,2,2,16,12.5,0.08,0.13,1,55.8,1.04,0.12,0,2023-2024
751,Niklas Dorsch,Germany,MF,Augsburg,Bundesliga,25,1998,21,1386,0,0,0,0,0,0.7,0.7,12,47,0,0,35,24,39.4,9,6,16,27,0,0,0,0,0,0,0,0,545,628,86.8,2395,92.7,91.7,60,3,41,2,61,11,63.6,27.3,12,8,1,10,0,14,0,0,0,0,33.3,1.17,0.06,0,2023-2024
765,Nikola Dovedan,Austria,MF,Heidenheim,Bundesliga,29,1994,21,656,3,1,4,3,0,1.9,1.9,12,22,0.41,0.14,14,9,20,0,9,1,3,0,0,0,0,0,0,0,0,125,204,61.3,589,71.4,72.5,37,8,12,3,3,23,34.8,56.5,12,11,4,15,3,14,35.7,0.69,0.21,0.6,19.4,3.17,0.41,0,2023-2024
766,Damion Downs,United States,FW,Köln,Bundesliga,19,2004,10,181,2,0,2,2,0,1,1,1,0,0.99,0,1,1,50,0,1,0,1,0,0,0,0,0,0,0,0,24,36,66.7,48,77.8,60,75,0,0,1,1,4,25,75,1,1,1,1,2,5,40,0.99,0.4,1,14.3,1.99,0,0,2023-2024
770,Dion Drena Beljo,Croatia,FW,Augsburg,Bundesliga,21,2002,26,581,2,0,2,2,0,3,3,16,20,0.31,0,0,0,0,1,7,1,4,0,0,0,0,0,0,0,0,115,160,71.9,335,71.4,79.7,66.7,8,5,8,5,24,45.8,41.7,16,13,6,5,2,19,36.8,1.08,0.11,0.29,54.5,3.25,0.46,0,2023-2024
771,Tim Drexler,Germany,DF,Hoffenheim,Bundesliga,18,2005,8,573,0,0,0,0,0,0,0,6,12,0,0,16,9,47.1,8,4,8,14,0,0,0,0,0,0,0,0,315,349,90.3,1532,94,95.3,50,1,14,0,35,5,20,60,6,2,0,1,0,0,0,0,0,0,17.6,0.79,0.47,0,2023-2024
775,Marvin Ducksch,Germany,FW,Werder Bremen,Bundesliga,29,1994,33,2696,12,9,21,7,5,12.8,7.9,17,88,0.4,0.3,8,3,42.9,0,2,4,25,0,0,0,0,0,0,0,0,566,950,59.6,3256,75.8,61.3,41.4,58,41,30,25,28,42.9,57.1,17,20,7,17,12,74,43.2,1.07,0.09,0.22,33.3,3.64,0.47,0,2023-2024
